,Image Name,Real lables,Predected Labels
566,lysosome - lysosome_032.tif,lysosome,lysosome
567,endosome - endosome_022.tif,endosome,endosome
568,lysosome - lysosome_029.tif,lysosome,lysosome
569,er - ER_077.TIF,er,er
570,microtubules - microtubules_009.tif,microtubules,er
571,dna - DNA_040.TIF,dna,dna
572,golgpp - golgpp_057.tif,golgpp,golgpp
573,dna - DNA_046.TIF,dna,dna
574,lysosome - lysosome_021.tif,lysosome,endosome
575,golgpp - golgpp_017.tif,golgpp,golgpp
576,er - ER_027.TIF,er,er
577,endosome - endosome_012.tif,endosome,endosome
578,endosome - endosome_025.tif,endosome,endosome
579,endosome - endosome_035.tif,endosome,endosome
580,dna - DNA_010.TIF,dna,dna
581,er - ER_022.TIF,er,er
582,lysosome - lysosome_080.tif,lysosome,golgpp
583,golgia - golgia_022.tif,golgia,golgia
584,lysosome - lysosome_073.tif,lysosome,lysosome
585,microtubules - microtubules_061.tif,microtubules,microtubules
586,mitochondria - mitochondria_032.tif,mitochondria,mitochondria
587,dna - DNA_068.TIF,dna,dna
588,microtubules - microtubules_022.tif,microtubules,microtubules
589,er - ER_003.TIF,er,er
590,nucleolus - nucleolus_072.tif,nucleolus,nucleolus
591,golgia - golgia_025.tif,golgia,golgia
592,golgia - golgia_033.tif,golgia,mitochondria
593,golgpp - golgpp_012.tif,golgpp,golgpp
594,endosome - endosome_042.tif,endosome,endosome
595,endosome - endosome_056.tif,endosome,endosome
596,golgia - golgia_011.tif,golgia,golgia
597,microtubules - microtubules_058.tif,microtubules,microtubules
598,mitochondria - mitochondria_046.tif,mitochondria,mitochondria
599,mitochondria - mitochondria_007.tif,mitochondria,mitochondria
600,golgia - golgia_045.tif,golgia,golgia
601,mitochondria - mitochondria_002.tif,mitochondria,mitochondria
602,actin - actin_028.tif,actin,actin
603,lysosome - lysosome_012.tif,lysosome,endosome
604,dna - DNA_022.TIF,dna,dna
605,nucleolus - nucleolus_047.tif,nucleolus,nucleolus
606,golgpp - golgpp_030.tif,golgpp,golgpp
607,lysosome - lysosome_066.tif,lysosome,lysosome
608,nucleolus - nucleolus_002.tif,nucleolus,nucleolus
609,actin - actin_056.tif,actin,actin
610,er - ER_046.TIF,er,er
611,lysosome - lysosome_002.tif,lysosome,lysosome
612,golgia - golgia_067.tif,golgia,golgia
613,microtubules - microtubules_089.tif,microtubules,microtubules
614,actin - actin_058.tif,actin,actin
615,lysosome - lysosome_054.tif,lysosome,lysosome
616,mitochondria - mitochondria_035.tif,mitochondria,mitochondria
617,endosome - endosome_050.tif,endosome,microtubules
618,dna - DNA_008.TIF,dna,dna
619,nucleolus - nucleolus_038.tif,nucleolus,nucleolus
620,er - ER_035.TIF,er,er
621,microtubules - microtubules_016.tif,microtubules,microtubules
622,dna - DNA_077.TIF,dna,dna
623,er - ER_047.TIF,er,er
624,endosome - endosome_006.tif,endosome,endosome
625,actin - actin_044.tif,actin,actin
626,nucleolus - nucleolus_011.tif,nucleolus,nucleolus
627,microtubules - microtubules_019.tif,microtubules,microtubules
628,lysosome - lysosome_001.tif,lysosome,lysosome
629,er - ER_038.TIF,er,er
630,endosome - endosome_054.tif,endosome,endosome
631,golgia - golgia_074.tif,golgia,golgia
632,lysosome - lysosome_053.tif,lysosome,microtubules
633,golgpp - golgpp_011.tif,golgpp,golgpp
634,actin - actin_002.tif,actin,actin
635,endosome - endosome_001.tif,endosome,endosome
636,er - ER_085.TIF,er,er
637,lysosome - lysosome_035.tif,lysosome,lysosome
638,actin - actin_082.tif,actin,actin
639,lysosome - lysosome_003.tif,lysosome,lysosome
640,golgia - golgia_009.tif,golgia,golgia
641,dna - DNA_030.TIF,dna,dna
642,er - ER_062.TIF,er,er
643,lysosome - lysosome_028.tif,lysosome,lysosome
644,dna - DNA_033.TIF,dna,dna
645,er - ER_056.TIF,er,er
646,endosome - endosome_084.tif,endosome,endosome
647,endosome - endosome_070.tif,endosome,endosome
648,dna - DNA_047.TIF,dna,dna
649,golgia - golgia_023.tif,golgia,golgia
650,actin - actin_043.tif,actin,actin
651,lysosome - lysosome_079.tif,lysosome,lysosome
652,microtubules - microtubules_045.tif,microtubules,microtubules
653,nucleolus - nucleolus_069.tif,nucleolus,nucleolus
654,endosome - endosome_007.tif,endosome,endosome
655,er - ER_078.TIF,er,er
656,golgia - golgia_083.tif,golgia,golgia
657,actin - actin_053.tif,actin,actin
658,lysosome - lysosome_009.tif,lysosome,lysosome
659,lysosome - lysosome_031.tif,lysosome,lysosome
660,golgpp - golgpp_048.tif,golgpp,golgpp
661,nucleolus - nucleolus_058.tif,nucleolus,nucleolus
662,dna - DNA_061.TIF,dna,dna
663,mitochondria - mitochondria_037.tif,mitochondria,mitochondria
664,nucleolus - nucleolus_029.tif,nucleolus,nucleolus
665,golgpp - golgpp_020.tif,golgpp,golgpp
666,golgia - golgia_006.tif,golgia,golgia
667,microtubules - microtubules_043.tif,microtubules,microtubules
668,golgia - golgia_054.tif,golgia,golgia
669,dna - DNA_075.TIF,dna,dna
670,mitochondria - mitochondria_060.tif,mitochondria,mitochondria
671,endosome - endosome_074.tif,endosome,endosome
672,endosome - endosome_064.tif,endosome,endosome
673,endosome - endosome_051.tif,endosome,endosome
674,golgpp - golgpp_082.tif,golgpp,golgpp
675,endosome - endosome_011.tif,endosome,lysosome
676,golgpp - golgpp_028.tif,golgpp,golgpp
677,mitochondria - mitochondria_027.tif,mitochondria,mitochondria
678,er - ER_081.TIF,er,er
679,golgpp - golgpp_060.tif,golgpp,golgpp
680,actin - actin_003.tif,actin,actin
681,microtubules - microtubules_006.tif,microtubules,microtubules
682,er - ER_083.TIF,er,er
683,mitochondria - mitochondria_038.tif,mitochondria,mitochondria
684,microtubules - microtubules_047.tif,microtubules,microtubules
685,nucleolus - nucleolus_015.tif,nucleolus,nucleolus
686,dna - DNA_017.TIF,dna,dna
687,nucleolus - nucleolus_008.tif,nucleolus,nucleolus
688,actin - actin_006.tif,actin,actin
689,microtubules - microtubules_080.tif,microtubules,microtubules
690,golgia - golgia_070.tif,golgia,golgia
691,dna - DNA_051.TIF,dna,dna
692,nucleolus - nucleolus_059.tif,nucleolus,nucleolus
693,mitochondria - mitochondria_004.tif,mitochondria,mitochondria
694,dna - DNA_018.TIF,dna,dna
695,dna - DNA_054.TIF,dna,dna
696,golgpp - golgpp_027.tif,golgpp,golgpp
697,golgpp - golgpp_062.tif,golgpp,golgpp
698,actin - actin_059.tif,actin,actin
699,er - ER_008.TIF,er,er
700,lysosome - lysosome_015.tif,lysosome,lysosome
701,actin - actin_024.tif,actin,actin
702,mitochondria - mitochondria_016.tif,mitochondria,mitochondria
703,actin - actin_034.tif,actin,actin
704,microtubules - microtubules_044.tif,microtubules,microtubules
705,lysosome - lysosome_023.tif,lysosome,lysosome
706,endosome - endosome_067.tif,endosome,endosome
707,golgia - golgia_013.tif,golgia,golgia
708,actin - actin_068.tif,actin,actin
709,er - ER_013.TIF,er,er
710,golgia - golgia_086.tif,golgia,golgia
711,nucleolus - nucleolus_034.tif,nucleolus,nucleolus
712,golgia - golgia_059.tif,golgia,golgia
713,endosome - endosome_066.tif,endosome,endosome
714,dna - DNA_035.TIF,dna,dna
715,er - ER_036.TIF,er,er
716,golgia - golgia_012.tif,golgia,golgia
717,microtubules - microtubules_088.tif,microtubules,microtubules
718,golgia - golgia_082.tif,golgia,golgia
719,er - ER_006.TIF,er,er
720,golgpp - golgpp_021.tif,golgpp,golgpp
721,endosome - endosome_061.tif,endosome,endosome
722,lysosome - lysosome_030.tif,lysosome,endosome
723,endosome - endosome_023.tif,endosome,endosome
724,golgpp - golgpp_004.tif,golgpp,golgpp
725,actin - actin_055.tif,actin,actin
726,dna - DNA_084.TIF,dna,dna
727,nucleolus - nucleolus_073.tif,nucleolus,nucleolus
728,dna - DNA_049.TIF,dna,dna
729,actin - actin_033.tif,actin,actin
730,nucleolus - nucleolus_070.tif,nucleolus,nucleolus
731,endosome - endosome_086.tif,endosome,endosome
732,mitochondria - mitochondria_017.tif,mitochondria,mitochondria
733,microtubules - microtubules_054.tif,microtubules,microtubules
734,nucleolus - nucleolus_071.tif,nucleolus,nucleolus
735,actin - actin_097.tif,actin,actin
736,endosome - endosome_032.tif,endosome,endosome
737,endosome - endosome_027.tif,endosome,endosome
738,nucleolus - nucleolus_049.tif,nucleolus,golgia
739,lysosome - lysosome_034.tif,lysosome,lysosome
740,lysosome - lysosome_042.tif,lysosome,lysosome
741,er - ER_023.TIF,er,er
742,actin - actin_072.tif,actin,actin
743,er - ER_015.TIF,er,er
744,nucleolus - nucleolus_068.tif,nucleolus,nucleolus
745,lysosome - lysosome_027.tif,lysosome,lysosome
746,nucleolus - nucleolus_080.tif,nucleolus,nucleolus
747,dna - DNA_067.TIF,dna,dna
748,golgpp - golgpp_040.tif,golgpp,golgpp
749,golgpp - golgpp_003.tif,golgpp,golgpp
750,er - ER_004.TIF,er,er
751,er - ER_033.TIF,er,er
752,lysosome - lysosome_076.tif,lysosome,lysosome
753,golgia - golgia_044.tif,golgia,golgia
754,dna - DNA_045.TIF,dna,dna
755,mitochondria - mitochondria_022.tif,mitochondria,mitochondria
756,er - ER_018.TIF,er,er
757,nucleolus - nucleolus_016.tif,nucleolus,nucleolus
758,dna - DNA_086.TIF,dna,dna
759,endosome - endosome_043.tif,endosome,endosome
760,dna - DNA_076.TIF,dna,dna
761,endosome - endosome_088.tif,endosome,endosome
762,lysosome - lysosome_077.tif,lysosome,lysosome
763,actin - actin_070.tif,actin,actin
764,golgia - golgia_065.tif,golgia,golgia
765,actin - actin_079.tif,actin,actin
766,microtubules - microtubules_084.tif,microtubules,microtubules
767,microtubules - microtubules_034.tif,microtubules,microtubules
768,dna - DNA_064.TIF,dna,dna
769,dna - DNA_072.TIF,dna,dna
770,lysosome - lysosome_033.tif,lysosome,lysosome
771,lysosome - lysosome_056.tif,lysosome,lysosome
772,golgpp - golgpp_013.tif,golgpp,golgpp
773,microtubules - microtubules_059.tif,microtubules,microtubules
774,endosome - endosome_076.tif,endosome,microtubules
775,er - ER_012.TIF,er,er
776,endosome - endosome_069.tif,endosome,endosome
777,microtubules - microtubules_001.tif,microtubules,microtubules
778,golgpp - golgpp_016.tif,golgpp,golgpp
779,dna - DNA_071.TIF,dna,dna
780,dna - DNA_044.TIF,dna,dna
781,lysosome - lysosome_040.tif,lysosome,lysosome
782,mitochondria - mitochondria_013.tif,mitochondria,mitochondria
783,er - ER_071.TIF,er,er
784,actin - actin_088.tif,actin,actin
785,golgia - golgia_030.tif,golgia,golgia
786,golgpp - golgpp_010.tif,golgpp,golgpp
787,golgia - golgia_029.tif,golgia,golgia
788,dna - DNA_012.TIF,dna,dna
789,endosome - endosome_045.tif,endosome,lysosome
790,microtubules - microtubules_024.tif,microtubules,microtubules
791,er - ER_011.TIF,er,er
792,er - ER_054.TIF,er,er
793,er - ER_080.TIF,er,er
794,dna - DNA_078.TIF,dna,dna
795,microtubules - microtubules_055.tif,microtubules,microtubules
796,golgpp - golgpp_071.tif,golgpp,golgpp
797,actin - actin_045.tif,actin,actin
798,microtubules - microtubules_067.tif,microtubules,microtubules
799,actin - actin_066.tif,actin,actin
800,dna - DNA_001.TIF,dna,dna
801,er - ER_005.TIF,er,er
802,mitochondria - mitochondria_018.tif,mitochondria,mitochondria
803,microtubules - microtubules_025.tif,microtubules,microtubules
804,nucleolus - nucleolus_043.tif,nucleolus,nucleolus
805,golgia - golgia_014.tif,golgia,golgia
806,er - ER_039.TIF,er,er
807,microtubules - microtubules_082.tif,microtubules,microtubules
808,er - ER_030.TIF,er,er
809,er - ER_072.TIF,er,er
810,golgpp - golgpp_032.tif,golgpp,golgpp
811,actin - actin_074.tif,actin,actin
812,nucleolus - nucleolus_077.tif,nucleolus,nucleolus
813,er - ER_028.TIF,er,er
814,golgia - golgia_001.tif,golgia,golgia
815,dna - DNA_028.TIF,dna,dna
816,actin - actin_009.tif,actin,actin
817,golgia - golgia_068.tif,golgia,golgia
818,golgpp - golgpp_079.tif,golgpp,golgpp
819,actin - actin_083.tif,actin,actin
820,actin - actin_019.tif,actin,actin
821,dna - DNA_011.TIF,dna,dna
822,endosome - endosome_072.tif,endosome,endosome
823,golgpp - golgpp_039.tif,golgpp,golgpp
824,dna - DNA_082.TIF,dna,dna
825,golgia - golgia_047.tif,golgia,golgia
826,golgia - golgia_018.tif,golgia,golgpp
827,microtubules - microtubules_051.tif,microtubules,microtubules
828,er - ER_079.TIF,er,er
829,golgpp - golgpp_063.tif,golgpp,golgia
830,actin - actin_067.tif,actin,actin
831,nucleolus - nucleolus_050.tif,nucleolus,nucleolus
832,nucleolus - nucleolus_039.tif,nucleolus,nucleolus
833,lysosome - lysosome_038.tif,lysosome,lysosome
834,endosome - endosome_078.tif,endosome,endosome
835,dna - DNA_034.TIF,dna,dna
836,golgpp - golgpp_047.tif,golgpp,golgpp
837,lysosome - lysosome_072.tif,lysosome,lysosome
838,endosome - endosome_029.tif,endosome,endosome
839,nucleolus - nucleolus_076.tif,nucleolus,nucleolus
840,actin - actin_032.tif,actin,actin
841,endosome - endosome_028.tif,endosome,endosome
842,lysosome - lysosome_061.tif,lysosome,lysosome
843,er - ER_068.TIF,er,er
844,actin - actin_004.tif,actin,actin
845,actin - actin_063.tif,actin,actin
846,actin - actin_092.tif,actin,actin
847,endosome - endosome_040.tif,endosome,endosome
848,golgia - golgia_055.tif,golgia,golgia
849,actin - actin_093.tif,actin,actin
850,er - ER_029.TIF,er,er
851,dna - DNA_069.TIF,dna,dna
852,mitochondria - mitochondria_040.tif,mitochondria,mitochondria
853,microtubules - microtubules_090.tif,microtubules,microtubules
854,er - ER_017.TIF,er,er
855,golgpp - golgpp_044.tif,golgpp,golgpp
856,golgpp - golgpp_038.tif,golgpp,golgpp
857,microtubules - microtubules_030.tif,microtubules,microtubules
858,nucleolus - nucleolus_023.tif,nucleolus,nucleolus
859,microtubules - microtubules_046.tif,microtubules,microtubules
860,nucleolus - nucleolus_027.tif,nucleolus,nucleolus
861,er - ER_066.TIF,er,er
